num_returns,refund_amount,time_gap,mismatch,category_risk,loyalty,reason_pattern,fraud
7,2459.750767393447,12,0,3,3,2,0
0,3477.5268466183,36,1,2,3,2,0
2,187.54628693103098,34,0,1,7,0,1
2,2187.037533961333,21,0,2,3,2,1
2,3971.31099519619,35,0,2,5,0,1
4,1248.9339478714833,1,0,1,7,1,0
3,2481.5142010387326,22,0,2,7,1,0
3,4872.964052783984,42,0,2,6,1,0
1,3975.2103395728172,48,0,1,8,1,1
2,904.900208341768,43,0,2,2,1,0
3,3326.4499745741555,35,0,2,4,2,1
0,3778.9846479967914,14,0,4,8,0,1
3,1157.8803346284535,28,0,4,5,1,0
3,3996.0440146158685,39,0,4,8,1,0
0,909.6020240251707,48,0,3,6,2,0
2,4811.693034746072,39,0,1,3,1,1
0,863.9613095905486,7,0,3,5,0,1
2,1003.8863498035256,24,0,3,9,1,1
2,1705.722375391293,21,0,1,1,0,0
3,1716.2792532850256,5,0,4,3,1,1
1,1278.56783321619,28,0,2,8,1,0
1,1863.1462973273772,48,0,1,3,0,0
1,479.0943945188812,22,0,2,4,2,0
2,2324.434244755142,15,0,4,7,1,0
3,364.61138175008455,18,0,1,8,0,0
2,797.7491316029108,48,0,3,8,2,0
4,2790.1571103725305,24,0,3,3,0,0
4,3218.033550983031,35,1,4,8,2,1
2,703.2366224148566,29,0,2,3,1,0
3,2604.5125220210825,23,0,3,9,1,1
1,705.971634803706,29,1,1,7,1,1
1,2850.218910629293,32,0,3,1,1,1
1,529.0048094080598,16,0,4,2,1,1
1,2876.8527287415473,42,0,4,3,1,0
1,189.90252615362652,2,0,1,3,0,0
3,145.14319509227465,26,0,3,3,1,1
3,2687.2009076106565,14,0,1,4,1,0
2,3789.5047296930147,2,0,4,1,1,1
1,966.5294169478999,36,0,4,5,1,0
1,3726.625922403588,23,0,3,9,2,1
1,1147.5597823923356,18,0,4,6,0,1
1,900.3033501356612,48,0,4,9,0,1
3,3954.7880908870998,31,0,1,9,1,0
2,4738.000579099724,1,0,3,4,1,1
0,4124.256678307032,13,0,1,1,1,1
3,1799.6005582141097,43,1,3,6,0,1
0,2121.952757904741,33,0,1,9,0,0
1,1353.481112472006,28,0,3,3,0,1
0,2538.2736231491494,1,1,3,8,2,1
4,2011.5168553832548,31,1,4,7,1,1
2,2780.5762854612067,30,1,1,8,2,0
1,2754.4890482934056,28,0,1,9,1,0
3,1611.111401985984,5,0,2,7,0,0
2,4713.982131928213,31,0,3,1,0,1
1,2481.4082223971013,47,0,2,6,0,0
1,1767.225837514626,21,0,4,3,0,0
0,1238.6664145730606,28,0,1,7,0,0
1,1182.2403239409812,26,0,3,2,2,0
0,3670.750484428145,13,0,2,4,0,0
0,4291.833345854702,15,0,2,4,1,1
1,198.33736693373172,47,0,2,7,2,0
3,690.3691474337089,13,0,3,8,2,0
4,3478.6697805013328,18,0,2,5,1,0
3,1594.3976598629686,49,0,4,1,1,1
1,1051.9318900407898,40,0,4,9,0,0
1,4039.3586132482174,42,0,4,4,0,0
2,4782.512704192202,16,0,2,7,2,0
1,417.89707884860877,10,0,2,4,0,1
4,3856.2299463756954,35,0,3,4,1,1
1,507.33845280389374,16,0,3,4,1,1
1,3361.2210831337106,7,0,2,4,0,1
3,4569.4730889166885,4,0,2,2,1,0
3,2273.5298532531933,46,0,1,8,2,0
5,3661.2215811483325,14,0,1,1,0,0
3,3317.570900478792,24,0,2,6,1,0
2,979.0998943991239,41,0,3,6,2,0
2,3466.3722369013594,36,0,2,4,2,0
1,3497.795693026595,41,0,3,7,0,0
1,4192.095940493711,48,0,4,3,1,1
8,404.25120438980156,31,1,1,6,2,1
4,3033.2046846065655,44,1,3,8,2,1
0,137.39315961298595,31,0,3,8,1,0
3,1174.2028488776723,8,0,2,2,1,0
2,4443.662538782178,16,0,3,9,2,0
3,4018.4260082545447,32,0,2,1,0,0
2,3173.9150624333483,39,0,3,8,1,1
2,4447.557696794463,21,0,2,5,1,0
1,1368.089326065269,3,0,4,8,2,0
0,1056.5569894621522,22,0,2,1,2,0
2,3512.828574535017,48,0,4,1,1,1
1,2679.774661686235,46,0,3,1,0,0
2,3393.7486219839475,17,1,4,3,1,1
1,920.903125787379,7,0,2,9,2,1
0,2665.224400834418,14,0,4,1,2,1
2,3532.9316581505714,24,0,4,2,2,0
0,4981.735917306668,31,0,4,8,0,0
4,223.23475662804069,2,1,3,5,0,1
3,586.0737593081719,45,0,4,1,1,0
5,689.8125929334329,5,0,3,2,2,1
3,132.6271244336714,6,1,2,2,1,1
4,3217.158715831564,4,1,1,9,2,1
1,4802.990429932664,31,0,3,6,1,1
3,1111.9700924166164,42,0,1,8,1,0
0,3743.5781399723855,23,0,4,4,1,1
1,2843.091660257711,43,1,3,6,0,0
0,3115.773247085342,6,0,4,6,2,1
1,3569.7904104977774,11,1,2,6,1,1
2,3846.3095579655537,3,1,3,3,1,1
2,2386.452889481387,18,0,1,9,0,0
4,3270.965931977963,40,0,2,1,0,0
1,1009.3765003788136,4,0,4,5,2,0
3,1324.0988735767362,14,0,3,8,1,0
1,627.6547994839955,14,0,3,1,2,1
3,101.78753090942368,35,0,1,2,1,0
6,1991.8043504927043,28,1,4,3,1,1
2,943.1446487300635,30,0,2,8,0,0
2,586.1896667941899,2,0,1,4,2,0
2,1223.2487187942745,35,0,3,3,0,0
2,2194.4317975194213,23,0,4,3,0,1
2,148.73523003568218,30,0,1,5,2,0
0,1868.2877115335596,30,1,3,4,2,1
0,129.54328790375294,9,0,4,9,2,0
0,201.32838414280542,16,1,2,3,0,1
1,4773.3866086782955,27,0,3,1,1,0
0,186.3636648725958,44,0,2,5,0,0
3,3991.2492249516927,42,0,2,9,2,0
3,3844.2942127259503,14,0,3,1,1,0
3,382.4065571494522,17,0,4,8,2,1
0,1479.7557063759948,18,0,1,4,1,0
0,1376.1022886173437,25,0,4,7,0,0
2,2836.8133714354426,7,0,3,8,0,0
1,3810.7106960126953,30,0,2,6,0,1
6,4839.34342770725,46,0,2,1,0,1
3,4251.542748183866,9,0,1,9,0,0
3,3056.2716194047866,11,0,3,8,2,1
2,578.9634626664576,17,0,4,8,2,0
2,390.35700523862005,5,0,4,1,0,1
2,2718.3006919917993,19,0,2,7,0,1
1,3491.7407459298965,27,0,4,3,1,0
0,4345.652960949472,47,0,4,1,1,1
1,4350.347093018741,47,0,4,3,1,1
1,3466.613240671227,2,0,3,6,2,1
0,4684.232917262757,33,0,4,9,0,1
2,2295.7735750916254,10,0,3,3,1,1
3,4211.585729599249,16,1,3,7,0,1
1,1927.017006534875,46,0,3,8,2,0
2,2990.8445296183368,36,0,1,1,0,0
2,2819.902918257855,33,0,4,1,1,1
2,1625.123485369035,38,0,3,7,1,0
3,1131.7662021018593,27,0,1,3,0,0
2,1342.7431731956774,34,0,3,3,1,0
1,760.0274751990669,46,1,1,9,1,0
0,2618.1249410312703,25,0,2,2,1,1
1,2694.6924262248685,39,0,4,9,2,1
1,1364.7307154367538,46,0,3,9,2,0
2,3261.6977840779655,47,0,1,7,0,0
2,2133.2699751772075,23,0,3,4,1,0
0,324.2879866183469,33,0,4,7,2,1
1,4674.319841722877,19,0,1,5,0,0
1,2391.035796145367,23,0,3,7,1,0
1,3379.6307415561014,18,0,1,8,1,1
2,1377.0179327397827,46,0,4,8,1,1
1,2660.6820752086574,27,0,3,9,2,0
3,4514.531970294576,17,0,4,3,0,1
3,1311.7519270458351,43,1,1,6,0,0
2,2031.7498596409514,5,0,3,9,2,0
5,997.4626041353921,1,0,1,5,0,0
0,2490.0640406070916,48,0,2,8,1,0
2,708.3727925456515,31,0,3,2,2,0
1,4782.234414924173,33,0,2,6,0,0
2,2920.9159169787704,32,0,1,9,1,0
3,3264.474320780107,14,0,2,8,1,1
1,2898.1986142952474,24,0,4,7,0,0
2,1679.3889633339998,7,0,2,3,0,1
1,4358.192163096208,24,0,1,6,1,0
2,2372.6227449722915,22,0,2,2,2,1
1,2910.873081072111,37,0,3,3,0,0
2,2034.0051440716504,4,0,1,6,2,0
2,945.9794351620656,36,0,4,3,2,0
4,1721.4358557506112,26,0,4,1,2,0
2,1694.9939014797485,49,0,2,9,0,1
2,4998.472294829258,4,0,4,6,2,1
3,4212.365196490119,6,0,1,2,0,0
2,1967.014759901395,26,0,1,3,2,0
3,921.3828216251108,14,0,4,1,1,0
2,989.5564624091279,41,0,2,4,2,0
3,852.0395881785656,36,0,4,2,0,1
1,4403.8587696473705,48,0,4,5,0,0
2,936.3466980307437,31,0,2,3,1,0
1,1325.2785615856808,46,0,3,2,0,0
1,822.3504154996467,36,0,4,1,1,0
2,4682.511694287872,16,1,4,6,2,1
0,3615.8758068773836,11,0,1,5,0,0
1,4033.7705989345186,12,0,1,9,1,0
2,1583.84137495411,31,0,2,3,2,1
2,914.6070253367676,26,0,1,6,0,0
2,4571.8619096033635,6,0,4,1,1,0
1,1714.8146753699505,34,0,2,7,0,0
2,3421.2286254174705,19,0,2,4,1,0
1,2179.4934875362774,48,1,2,6,1,1
2,107.89689092517425,3,0,2,4,2,0
0,1626.470212096164,45,0,4,5,1,0
4,2467.74840809267,17,1,1,7,2,0
2,376.28518972584754,15,0,2,2,2,1
3,3316.778435030025,9,0,2,8,0,1
0,1755.304371937595,49,0,3,3,2,0
1,3585.700936862552,38,0,2,6,0,1
4,1024.6901157712466,9,0,2,7,1,0
5,2293.9183666200224,28,0,2,2,1,0
2,2804.088657739645,2,0,1,3,2,0
1,4318.029613455855,27,0,1,7,0,0
5,145.42936505403182,11,0,3,5,2,1
3,3820.5658274674106,44,1,1,6,0,1
1,1382.0278168982302,37,0,2,3,0,0
1,1291.2170058553297,45,0,1,3,2,0
4,3460.362998132922,46,0,2,5,1,0
2,1464.925361084231,7,0,3,6,0,1
4,4555.634673625526,26,1,3,8,2,1
1,689.7468885339426,35,0,4,6,0,0
1,2631.920653306822,4,0,2,1,0,0
2,2210.714542698382,13,0,2,2,0,0
1,2206.3780190154766,16,0,3,2,0,1
1,3098.496375892886,46,0,2,1,0,0
2,1100.9685085685828,45,0,3,1,2,1
2,606.4410686043329,35,0,4,4,2,0
1,4154.349899242288,28,1,4,3,1,1
3,3137.61657970262,42,0,3,2,2,1
0,276.7833865011011,40,0,1,1,1,0
1,4997.336458182635,3,0,3,3,0,0
3,300.6027200464604,12,0,4,9,1,0
3,367.1658672819258,20,0,1,8,0,0
1,1224.8235742427412,1,0,2,1,0,0
0,393.8113115744027,48,0,4,5,0,0
3,1666.9257139060019,40,0,3,5,0,0
2,3520.791016309253,32,0,4,7,0,0
5,3889.009171335938,27,0,1,3,1,1
2,2801.154670844256,23,0,2,3,1,1
1,3112.506071889365,27,0,3,1,2,0
3,3311.6632748527686,5,0,2,4,2,1
1,4387.7272199001,5,0,2,8,1,0
1,4726.4680989116105,41,0,4,9,2,1
3,2071.304276616338,42,1,4,9,1,1
3,1679.3774060330966,26,0,4,6,0,1
0,966.0824768364656,9,0,3,3,0,0
3,4449.344460307897,41,0,1,5,0,1
1,1895.185289520314,29,0,2,1,0,0
2,4827.277774945738,5,1,4,3,0,1
1,2999.95091963225,29,0,2,8,2,0
1,3523.6105490627006,20,0,3,3,2,1
1,1125.9727890696258,28,0,2,6,2,0
1,3450.5362358137513,3,0,4,6,2,1
3,3420.8999634150505,25,0,3,7,1,0
0,1935.7801737229797,31,0,1,4,0,0
2,4934.2698840404055,38,0,3,5,1,1
5,670.6117289248166,39,0,3,7,1,1
4,1392.0191518317727,18,0,2,5,2,0
0,4916.075263647384,33,0,2,3,0,1
2,138.97547390522692,42,1,4,6,2,1
2,3572.251031901086,26,0,1,4,0,0
1,1142.5549419480835,12,0,4,3,0,0
2,3916.7823611324866,48,0,3,8,1,1
0,995.6971599782529,36,0,3,9,1,1
1,1848.048706412451,1,0,2,8,1,0
1,2757.9313546437866,33,0,2,3,1,0
1,1627.0053064123467,41,0,3,3,2,0
2,4529.153416502336,1,0,2,9,0,0
3,1161.341778185076,31,0,3,5,1,1
1,2560.6498845436076,14,0,3,3,1,1
2,1897.70299062549,12,0,2,5,2,0
3,939.1506396143876,11,0,3,4,1,0
6,637.3256120035517,49,0,2,3,1,1
1,992.0014580116529,31,1,1,2,2,1
3,3732.5874615771813,48,0,3,7,2,0
1,2588.6525285131825,36,0,2,5,1,0
2,3235.7438450484296,7,0,2,9,1,0
3,522.9882331156005,36,0,4,1,0,1
5,233.70051985538672,6,0,3,9,0,1
4,1355.9931594477814,8,0,3,3,1,1
4,2592.6412667918985,2,0,1,3,2,0
2,3928.082436447821,16,0,3,2,0,0
2,2111.4982125748115,30,0,3,4,0,0
1,3970.8565064091563,37,0,3,4,2,1
1,3958.2977269770745,1,0,2,3,2,0
1,4149.988700280693,38,0,1,5,2,0
2,1313.6979723341155,7,0,1,7,1,0
2,3512.3310700451084,16,0,3,7,1,1
2,1905.2995917024602,6,1,3,9,2,1
1,1791.2885170799218,45,0,3,1,0,0
2,1672.6307287191516,28,0,2,5,1,0
2,3539.9787561307444,15,0,2,6,0,1
1,2715.2638031677243,34,0,1,8,0,0
0,3576.6498726130185,14,0,1,2,0,1
4,1807.9366941882577,14,0,4,8,0,0
2,3301.786734688125,23,1,1,9,2,1
3,4649.751118228667,3,0,2,1,1,1
0,4022.935198936204,10,0,2,2,1,0
4,3681.1755231453085,29,0,3,1,1,1
4,4884.898839686263,18,1,4,4,1,1
2,3324.0336607089453,18,1,3,4,1,0
2,1247.181448288466,46,0,3,2,2,0
1,4793.879179469153,10,1,3,8,2,1
3,4293.726263172124,4,0,2,7,0,0
3,2717.734319458131,32,0,4,8,0,1
1,2359.110926832422,5,0,2,9,0,1
2,808.7133382298761,45,0,4,9,0,0
1,3522.9615993873626,10,0,2,8,1,1
1,355.40511630583194,1,0,3,5,1,0
3,391.56112973790516,11,0,3,6,1,0
0,2440.742317635149,42,1,1,6,2,1
2,3689.801799732285,34,0,4,9,2,0
1,1291.5821033881043,42,0,3,2,2,0
1,3644.6865488703015,25,1,1,9,0,0
5,2745.5444673959787,11,0,1,9,0,1
2,4433.613493754118,41,0,3,4,0,0
3,3417.7186699301396,17,1,2,6,2,1
1,380.3095846156378,43,0,3,8,0,0
1,337.95625601717984,8,0,1,4,0,0
4,1304.843898565647,49,0,1,3,0,0
5,2746.1649642421194,19,0,3,4,1,1
2,2787.062469375826,44,0,1,3,0,0
0,2457.5283038325697,39,1,1,6,2,0
1,2816.561998973273,33,0,1,8,1,0
1,4929.623758576164,13,0,4,9,1,0
5,3948.058304017002,1,1,4,1,0,1
1,2770.584794460021,7,0,4,4,1,1
4,1147.9656802506304,40,0,1,3,1,0
1,4442.992211005349,10,0,3,5,0,1
2,2152.813156339583,42,0,4,3,2,0
4,1570.648117069754,12,1,1,9,1,1
1,4775.927234867178,12,0,2,6,1,1
1,4008.8676638471998,28,0,1,1,1,1
2,3228.3280034971326,37,0,1,4,2,0
1,3102.237972603679,29,0,3,7,0,1
0,4277.921355285359,19,0,3,2,1,1
2,3481.208612562876,39,0,2,9,0,0
4,2455.3496256567637,25,0,1,9,2,0
1,2811.3932947596777,45,0,3,7,1,0
2,4627.729221539413,46,0,2,7,2,0
1,778.0919823150962,40,0,4,9,1,1
3,1272.13897609052,28,0,3,1,0,1
3,3203.684598905167,22,0,4,5,2,1
1,4247.508567747221,8,0,2,9,0,1
2,349.1976501749377,41,0,3,2,2,1
3,2263.228824282935,15,0,2,2,0,0
3,211.87403429383343,12,0,1,9,2,0
4,1984.5275255210954,32,1,3,1,0,1
1,3614.2641508944157,17,1,4,1,0,1
1,2835.45805608847,44,0,4,2,1,1
2,1181.875401724551,7,0,2,1,1,1
0,1069.1293853575935,41,0,4,4,2,1
2,173.44812389813802,5,0,2,9,1,0
1,1331.2230457536962,24,1,2,5,0,0
3,3915.192558439182,46,0,4,1,1,0
1,3991.396425921097,15,1,4,1,0,1
4,195.72638547310362,14,0,1,3,2,0
2,367.5705181746347,15,1,4,8,1,1
3,279.7811235238612,43,1,1,4,0,0
1,146.1329285807692,27,0,4,7,1,1
1,1575.9713678110688,31,0,1,5,2,0
1,2537.9067576425696,46,0,2,7,1,0
1,857.375187030793,38,0,2,7,0,0
2,4015.6761891044457,6,0,2,3,1,0
3,3894.0462178878283,18,0,4,5,1,0
4,2778.2373992302482,25,0,3,4,1,0
3,4463.7304265053035,23,0,1,7,0,1
0,4292.243268706598,42,0,4,1,2,1
0,469.4059842630248,29,0,1,5,2,0
1,645.1004520989356,41,0,3,3,0,0
2,4047.409232157778,43,0,3,3,2,1
3,2032.424737411252,36,0,4,4,1,1
2,4842.605339701452,22,0,3,3,2,0
5,2168.2337314244587,49,0,1,9,2,1
1,1483.333991418342,42,0,4,4,0,1
3,1940.5619210265004,20,0,2,3,1,0
2,1558.2306383568152,9,0,2,7,0,0
1,1475.113420043408,49,0,2,7,1,0
1,4256.32169186314,6,0,1,1,1,0
0,1332.7140499963136,12,0,2,4,1,0
1,2109.5240008352193,5,0,4,1,1,1
5,4101.3113650412615,1,0,4,6,2,1
2,745.169208247758,27,0,3,9,1,0
1,1942.6776235059508,20,0,4,1,1,0
1,1164.0408591263142,26,0,4,6,2,0
0,3342.8743890809205,17,0,4,3,1,1
2,1532.0707887245846,8,0,1,8,0,0
2,215.4034401370247,35,1,4,2,0,1
0,2938.23914512947,35,0,1,5,0,1
2,4389.478095537735,11,0,3,9,0,1
5,3878.600088191806,18,0,3,9,1,1
1,863.7769113060383,21,0,4,7,0,0
1,4658.101938070407,46,0,2,9,1,1
2,3677.081802865488,43,0,1,4,1,0
3,1907.088026131811,18,0,1,9,1,1
1,2998.571580396607,24,0,3,6,2,1
0,2622.7045442404715,38,0,1,6,1,0
3,3768.2729227993973,31,0,4,3,1,1
2,3849.384400937161,18,0,4,4,0,0
0,3057.891301946236,12,0,4,6,1,1
1,4592.851085569467,8,0,2,6,0,1
0,1938.0337612868889,4,0,1,3,1,0
1,4823.600517899915,29,0,2,1,1,0
1,2248.2592963155194,37,0,3,4,0,0
3,778.4271428158266,17,0,4,2,0,0
1,4790.678724168169,18,0,1,1,0,0
0,3389.7524610700566,37,0,1,1,0,1
1,2904.678276558945,20,0,2,7,0,1
0,1254.887670393701,19,0,2,6,2,0
1,3506.612102468681,45,0,1,8,2,0
2,3461.901669487998,11,1,3,6,1,1
1,2844.7502520306007,5,0,2,4,0,0
0,3155.2635955925766,40,0,2,9,2,0
1,3129.9524324531635,7,1,3,4,2,0
3,2066.9189474723803,49,0,3,3,2,0
3,1090.199153091111,26,1,2,5,2,0
0,166.61800570507887,17,0,3,9,2,1
2,4447.35709309441,30,1,4,6,2,1
1,3403.9715447582053,25,0,3,5,0,0
1,3552.730189071082,7,0,3,6,2,0
3,1343.7382378122936,46,0,3,8,1,1
1,1930.1364219027746,43,0,4,8,2,1
2,4861.8063103662225,28,0,4,4,0,1
1,1747.873774959471,25,0,3,7,1,0
4,2212.8265498360634,38,0,4,2,2,0
4,2533.431075365256,20,0,2,4,1,0
2,3312.93824786671,48,0,2,3,1,1
2,4320.769199501759,43,0,2,2,1,0
1,4142.747644357143,33,0,3,3,0,1
2,3164.526255130642,36,1,1,3,2,0
3,4737.756454078617,11,0,1,8,2,0
1,2491.7487323976366,12,0,2,1,0,0
2,4427.928721991777,27,0,4,2,0,1
0,1204.2925024956285,38,0,1,3,1,0
1,3466.1633848499973,26,0,1,3,0,1
1,4556.727557228947,43,0,3,1,2,1
3,855.9895569811005,40,0,1,4,2,0
0,248.2310574682292,17,0,3,3,0,1
0,3738.2736160010204,16,0,3,7,2,0
2,3025.6085869650356,1,1,4,9,0,1
3,110.56585247934004,25,0,2,9,0,0
2,4185.819454625074,49,0,2,5,2,0
3,4581.24564143002,36,0,1,4,1,1
2,2007.5775239733343,47,0,4,4,1,0
1,771.0775010330418,43,0,1,6,2,0
2,4461.77551206977,9,0,1,5,2,0
4,1424.2779596201028,14,0,2,2,2,0
1,1323.464865722954,29,1,1,2,2,0
5,2297.636937282352,48,0,3,3,0,1
3,3791.534413162606,34,0,3,7,0,0
2,3247.873930114788,23,0,2,3,1,1
3,1159.142172727577,12,1,3,6,1,1
1,2429.5438527411684,7,0,4,2,2,0
1,4360.582885931812,32,0,2,9,2,0
1,1936.2945333555572,35,0,2,6,1,0
0,3157.60468867282,20,0,2,6,1,0
1,1776.8208374135918,33,0,4,7,1,0
2,4966.196740607162,29,0,4,3,0,1
0,634.5271124385769,13,0,1,3,0,1
3,593.1074262393392,18,0,3,1,1,0
2,3903.3538325524714,40,0,2,2,2,1
1,2403.4088169265074,12,0,2,4,0,0
1,1902.9694225723083,5,0,2,8,1,0
1,1253.312333425301,28,0,3,6,0,0
1,1002.6715452538008,21,1,4,1,0,1
2,2977.081240795855,24,0,4,9,0,1
2,1047.0154358995098,45,0,1,6,1,0
2,4006.026575390689,31,1,1,5,2,1
0,3108.168931824311,36,0,2,1,2,1
1,2790.9329823184644,22,1,2,3,0,1
0,816.0135487137344,43,1,3,3,2,1
2,631.2582589326847,13,0,4,3,2,1
0,1332.3458525694653,27,0,3,1,2,1
2,4695.382279847103,45,0,3,4,0,1
4,1177.353613888533,43,0,1,3,2,0
1,4013.570299404472,4,0,2,5,0,0
5,4099.840595151075,23,0,3,6,1,1
2,2054.681136948419,14,0,1,7,1,0
1,3531.100281756562,4,0,1,8,2,0
1,3552.3583166539865,14,0,2,7,0,1
3,1517.8085540800432,26,0,3,8,1,0
5,1043.290751239849,38,0,3,7,0,1
5,1168.3905583846938,37,0,4,3,2,1
1,3157.225894006656,28,0,4,6,2,1
2,4698.178278285995,34,0,1,4,1,0
4,1815.6457308231925,16,0,2,7,2,0
4,4761.9945726664855,41,0,2,8,1,1
1,4828.100566117191,11,1,1,1,0,1
3,1125.024266343993,27,0,3,8,2,0
4,4450.571899998223,10,0,2,6,0,1
3,4376.491539110695,10,0,1,5,2,0
0,4580.3938494386475,21,0,3,2,2,1
0,4901.643819344265,34,0,3,4,0,0
1,359.83733433944826,40,1,1,4,0,0
1,3654.917663903828,5,1,4,3,2,1
4,4399.491759446494,40,0,4,8,1,1
0,1759.920477465511,10,0,3,6,1,0
5,4009.2561126988808,4,0,3,5,1,0
0,4461.074176103072,45,0,1,3,2,0
2,2377.993838996859,5,0,2,4,2,0
2,3710.4580067759625,13,1,1,1,2,1
0,3185.2276637259138,33,0,1,3,2,1
1,4689.733522303431,37,0,2,7,0,0
2,4549.945456883432,31,0,4,5,1,1
2,184.73928400759576,41,0,3,7,2,0
2,2325.8794392143914,44,0,3,7,1,1
3,1621.9141924527182,41,0,1,8,1,0
2,473.3318681870407,44,0,4,9,0,0
0,2127.848873679411,33,0,4,9,1,0
3,3148.9770905955156,3,0,4,8,1,1
1,1507.0972670360654,34,0,2,3,1,0
1,3924.250642323906,33,0,4,1,1,0
1,2380.7406224979727,12,0,3,5,1,1
1,738.5971188420979,49,0,4,6,0,1
3,874.2404733724718,16,0,3,2,0,1
2,2346.150276452406,42,0,2,1,0,1
2,2955.160156074006,15,1,3,1,2,1
3,4663.285991874218,13,0,2,8,0,1
2,1635.4393746767228,26,0,1,3,2,0
1,4243.229514418397,48,1,3,3,1,1
0,1167.8557269192047,14,1,2,2,2,1
2,3151.9977640370753,48,0,1,9,2,0
1,2039.1215245155365,10,0,4,6,0,0
0,569.0129506139176,42,0,1,4,0,0
3,2076.8155967325374,41,0,1,7,0,0
0,1516.7101644465267,20,0,4,3,0,1
1,1339.2025241937017,27,1,2,8,2,0
2,4570.2295281910065,27,0,4,9,2,1
1,2021.3294657544227,1,0,1,9,2,0
2,458.93601017251194,6,0,2,7,1,0
3,4740.771226238247,31,0,2,4,1,0
1,3149.784609183674,20,1,1,8,2,0
1,3409.4473326952343,3,0,2,3,0,0
3,2949.0377145684834,14,0,2,9,0,1
3,2959.286082971003,34,0,4,9,1,0
2,2880.6760197730673,21,0,3,1,2,1
1,3451.9593775851904,46,0,4,8,2,0
1,3047.1373369040803,15,0,2,7,2,0
2,1043.6012742687624,26,1,4,1,1,1
2,1603.7699240643071,26,0,1,5,2,0
2,1021.9358528752421,22,0,2,6,1,0
2,2949.183308132612,8,0,3,9,0,0
0,1410.5542650773348,44,0,2,7,1,0
3,1852.0895499129408,10,0,1,7,0,0
4,2997.9243455155874,15,0,3,2,1,1
0,729.5620794346512,16,0,4,7,0,1
3,2391.317784772621,33,0,1,9,1,0
1,3835.0923715983026,48,0,3,2,0,1
4,4524.806329369233,27,0,4,6,0,0
2,1605.2973654244424,24,0,4,6,2,0
1,1725.171741807194,25,0,4,7,0,0
1,3335.6429792784643,28,0,1,8,0,0
3,1598.364151087547,9,0,2,9,2,0
0,2971.0569018150495,14,0,3,5,2,0
0,1923.8885630250963,2,1,3,9,0,1
1,1037.0229238323836,39,0,2,6,1,0
2,1406.1363985603027,19,0,2,8,2,0
3,4729.59335911463,9,0,2,6,1,0
3,4934.531193085491,41,0,3,7,1,0
1,4593.3886046105235,14,1,1,9,1,1
0,3823.8360740915973,27,0,3,1,1,0
2,1053.329588666617,42,0,1,6,0,0
3,2820.256967262726,33,0,1,7,1,0
5,2021.7480570803025,14,0,4,8,2,1
6,4633.540093510109,46,0,2,9,1,1
3,212.34504719648191,10,0,2,2,0,1
4,984.0717437652679,5,0,1,6,2,0
